EXP, timestamp,flowid, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1,1638795466,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 12 ,0 ,195 ,0 ,98 
1,1638795466,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 11 ,0 ,161 ,0 ,98 
1,1638795466,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 11 ,0 ,272 ,0 ,134 
1,1638795466,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 13 ,0 ,26 ,0 ,134 
1,1638795466,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 13 ,0 ,141 ,0 ,98 
1,1638795466,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 12 ,0 ,340 ,0 ,98 
1,1638795466,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 12 ,0 ,480 ,0 ,134 
1,1638795466,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 14 ,0 ,194 ,0 ,134 
1,1638795466,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 14 ,0 ,356 ,0 ,98 
1,1638795466,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 13 ,0 ,418 ,0 ,98 
1,1638795466,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 13 ,0 ,457 ,0 ,134 
1,1638795467,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 15 ,0 ,252 ,0 ,134 
1,1638795467,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 15 ,0 ,107 ,0 ,98 
1,1638795467,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 14 ,0 ,306 ,0 ,98 
1,1638795467,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 14 ,0 ,27 ,0 ,134 
1,1638795467,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 16 ,0 ,208 ,0 ,134 
1,1638795467,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 16 ,0 ,181 ,0 ,98 
1,1638795467,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 15 ,0 ,281 ,0 ,98 
1,1638795467,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 15 ,0 ,30 ,0 ,134 
1,1638795467,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 17 ,0 ,115 ,0 ,134 
1,1638795467,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 17 ,0 ,255 ,0 ,98 
1,1638795467,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 16 ,0 ,235 ,0 ,98 
1,1638795467,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 16 ,0 ,35 ,0 ,134 
1,1638795467,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 18 ,0 ,426 ,0 ,134 
1,1638795467,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 18 ,0 ,166 ,0 ,98 
1,1638795467,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 17 ,0 ,136 ,0 ,98 
1,1638795467,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 17 ,0 ,32 ,0 ,134 
1,1638795467,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 19 ,0 ,40 ,0 ,134 
1,1638795467,19167603001078448597L ,10.254.1.213,10.1.1.96,1,2 , 19 ,0 ,138 ,0 ,98 
1,1638795467,19238816672680837472L ,10.1.1.96,10.254.1.213,1,2 , 18 ,0 ,625 ,0 ,98 
1,1638795467,19311717785410797920L ,10.1.1.96,12.1.1.2,1,1 , 18 ,0 ,188 ,0 ,134 
1,1638795468,19167603001095422210L ,12.1.1.2,10.1.1.96,1,1 , 20 ,0 ,28 ,0 ,134 
