timestamp, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1637918348,12.1.1.2,10.1.1.96,6,1 , 0 ,0 ,42 ,0 ,110 
1637918348,10.254.1.213,10.1.1.96,6,2 , 0 ,0 ,1701 ,0 ,74 
1637918348,12.1.1.2,10.1.1.96,6,1 , 0 ,0 ,42 ,0 ,110 
1637918348,10.1.1.96,10.254.1.213,6,2 , 0 ,0 ,75 ,0 ,74 
1637918348,10.254.1.213,10.1.1.96,6,2 , 0 ,0 ,1701 ,0 ,74 
1637918348,10.1.1.96,10.254.1.213,6,2 , 0 ,0 ,75 ,0 ,74 
1637918349,10.1.1.96,10.254.1.213,6,2 , 1 ,0 ,30 ,0 ,74 
1637918349,12.1.1.2,10.1.1.96,6,1 , 1 ,0 ,145 ,0 ,110 
1637918349,10.254.1.213,10.1.1.96,6,2 , 1 ,0 ,29 ,0 ,74 
1637918349,10.1.1.96,10.254.1.213,6,2 , 2 ,0 ,24 ,0 ,74 
1637918349,10.1.1.96,10.254.1.213,6,2 , 1 ,0 ,30 ,0 ,74 
1637918349,12.1.1.2,10.1.1.96,6,1 , 1 ,0 ,145 ,0 ,110 
1637918349,10.254.1.213,10.1.1.96,6,2 , 1 ,0 ,29 ,0 ,74 
1637918349,10.1.1.96,10.254.1.213,6,2 , 2 ,0 ,24 ,0 ,74 
1637918351,12.1.1.2,10.1.1.96,6,1 , 2 ,0 ,135 ,0 ,110 
1637918351,12.1.1.2,10.1.1.96,6,1 , 2 ,0 ,135 ,0 ,110 
1637918351,10.254.1.213,10.1.1.96,6,2 , 2 ,0 ,296 ,0 ,74 
1637918351,10.254.1.213,10.1.1.96,6,2 , 2 ,0 ,296 ,0 ,74 
1637918351,10.1.1.96,10.254.1.213,6,2 , 3 ,0 ,166 ,0 ,74 
1637918351,10.1.1.96,10.254.1.213,6,2 , 3 ,0 ,166 ,0 ,74 
1637918353,10.1.1.96,10.254.1.213,6,2 , 4 ,0 ,41 ,0 ,74 
1637918353,10.1.1.96,10.254.1.213,6,2 , 4 ,0 ,41 ,0 ,74 
1637918353,10.1.1.96,12.1.1.2,6,1 , 0 ,0 ,2082 ,0 ,42 
1637918353,10.1.1.96,12.1.1.2,6,1 , 0 ,0 ,2082 ,0 ,42 
1637918353,12.1.1.2,10.1.1.96,6,1 , 3 ,0 ,468 ,0 ,102 
1637918353,12.1.1.2,10.1.1.96,6,1 , 3 ,0 ,468 ,0 ,102 
1637918353,10.254.1.213,10.1.1.96,6,2 , 3 ,0 ,29 ,0 ,66 
1637918353,10.254.1.213,10.1.1.96,6,2 , 3 ,0 ,29 ,0 ,66 
1637918353,12.1.1.2,10.1.1.96,6,1 , 4 ,0 ,105 ,0 ,139 
1637918353,12.1.1.2,10.1.1.96,6,1 , 4 ,0 ,105 ,0 ,139 
1637918353,10.254.1.213,10.1.1.96,6,2 , 4 ,0 ,33 ,0 ,103 
1637918353,10.254.1.213,10.1.1.96,6,2 , 4 ,0 ,33 ,0 ,103 
1637918353,10.1.1.96,10.254.1.213,6,2 , 5 ,0 ,17 ,0 ,67 
1637918353,10.1.1.96,10.254.1.213,6,2 , 5 ,0 ,17 ,0 ,67 
1637918353,10.1.1.96,12.1.1.2,6,1 , 1 ,0 ,102 ,0 ,103 
1637918353,10.1.1.96,12.1.1.2,6,1 , 1 ,0 ,102 ,0 ,103 
1637918353,10.1.1.96,10.254.1.213,6,2 , 6 ,0 ,17 ,0 ,67 
1637918353,10.1.1.96,10.254.1.213,6,2 , 6 ,0 ,17 ,0 ,67 
1637918353,10.1.1.96,12.1.1.2,6,1 , 2 ,0 ,102 ,0 ,103 
1637918353,10.1.1.96,12.1.1.2,6,1 , 2 ,0 ,102 ,0 ,103 
1637918353,12.1.1.2,10.1.1.96,6,1 , 5 ,0 ,67 ,0 ,102 
1637918353,10.254.1.213,10.1.1.96,6,2 , 5 ,0 ,42 ,0 ,66 
1637918353,12.1.1.2,10.1.1.96,6,1 , 5 ,0 ,67 ,0 ,102 
1637918353,12.1.1.2,10.1.1.96,6,1 , 6 ,0 ,26 ,0 ,106 
1637918353,10.254.1.213,10.1.1.96,6,2 , 5 ,0 ,42 ,0 ,66 
1637918353,12.1.1.2,10.1.1.96,6,1 , 6 ,0 ,26 ,0 ,106 
1637918353,10.254.1.213,10.1.1.96,6,2 , 6 ,0 ,189 ,0 ,70 
1637918353,10.1.1.96,10.254.1.213,6,2 , 7 ,0 ,33 ,0 ,66 
1637918353,10.254.1.213,10.1.1.96,6,2 , 6 ,0 ,189 ,0 ,70 
1637918353,10.1.1.96,12.1.1.2,6,1 , 3 ,0 ,571 ,0 ,102 
1637918353,10.1.1.96,10.254.1.213,6,2 , 7 ,0 ,33 ,0 ,66 
1637918353,10.1.1.96,12.1.1.2,6,1 , 3 ,0 ,571 ,0 ,102 
1637918353,12.1.1.2,10.1.1.96,6,1 , 7 ,0 ,26 ,0 ,221 
1637918353,12.1.1.2,10.1.1.96,6,1 , 7 ,0 ,26 ,0 ,221 
1637918353,10.254.1.213,10.1.1.96,6,2 , 7 ,0 ,885 ,0 ,185 
1637918353,10.254.1.213,10.1.1.96,6,2 , 7 ,0 ,885 ,0 ,185 
1637918353,10.1.1.96,10.254.1.213,6,2 , 8 ,0 ,267 ,0 ,67 
1637918353,10.1.1.96,10.254.1.213,6,2 , 9 ,0 ,267 ,0 ,67 
1637918353,10.1.1.96,10.254.1.213,6,2 , 8 ,0 ,267 ,0 ,67 
1637918353,10.1.1.96,12.1.1.2,6,1 , 4 ,0 ,167 ,0 ,103 
1637918353,10.1.1.96,10.254.1.213,6,2 , 9 ,0 ,267 ,0 ,67 
1637918353,10.1.1.96,12.1.1.2,6,1 , 5 ,0 ,167 ,0 ,103 
1637918353,10.1.1.96,12.1.1.2,6,1 , 4 ,0 ,167 ,0 ,103 
1637918353,10.1.1.96,12.1.1.2,6,1 , 5 ,0 ,167 ,0 ,103 
1637918354,12.1.1.2,10.1.1.96,17,1 , 0 ,0 ,292 ,0 ,82 
1637918354,10.254.1.213,10.1.1.96,17,2 , 0 ,0 ,281 ,0 ,46 
1637918354,12.1.1.2,10.1.1.96,17,1 , 0 ,0 ,292 ,0 ,82 
1637918354,10.1.1.96,10.254.1.213,17,2 , 0 ,0 ,849 ,0 ,46 
1637918354,10.254.1.213,10.1.1.96,17,2 , 0 ,0 ,281 ,0 ,46 
1637918354,10.1.1.96,12.1.1.2,17,1 , 0 ,0 ,128 ,0 ,82 
1637918354,10.1.1.96,10.254.1.213,17,2 , 0 ,0 ,849 ,0 ,46 
1637918354,10.1.1.96,12.1.1.2,17,1 , 0 ,0 ,128 ,0 ,82 
1637918354,12.1.1.2,10.1.1.96,6,1 , 8 ,0 ,714 ,0 ,102 
