timestamp, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1637924589,10.254.1.213,10.1.1.96,6,2 , 69 ,0 ,1055 ,0 ,74 
1637924589,10.1.1.96,10.254.1.213,6,2 , 64 ,0 ,116 ,0 ,74 
1637924589,10.254.1.213,10.1.1.96,6,2 , 70 ,0 ,42 ,0 ,66 
1637924589,10.254.1.213,10.1.1.96,6,2 , 71 ,0 ,22 ,0 ,103 
1637924589,10.1.1.96,10.254.1.213,6,2 , 65 ,0 ,641 ,0 ,67 
1637924589,10.1.1.96,10.254.1.213,6,2 , 66 ,0 ,641 ,0 ,67 
1637924589,10.254.1.213,10.1.1.96,6,2 , 72 ,0 ,230 ,0 ,66 
1637924589,10.254.1.213,10.1.1.96,6,2 , 73 ,0 ,35 ,0 ,70 
1637924589,10.1.1.96,10.254.1.213,6,2 , 67 ,0 ,450 ,0 ,66 
1637924589,10.254.1.213,10.1.1.96,6,2 , 74 ,0 ,56 ,0 ,167 
1637924589,10.1.1.96,10.254.1.213,6,2 , 68 ,0 ,85 ,0 ,67 
1637924589,10.1.1.96,10.254.1.213,6,2 , 69 ,0 ,85 ,0 ,67 
1637924589,10.254.1.213,10.1.1.96,6,2 , 75 ,0 ,106 ,0 ,66 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46491 ,0 ,38 ,0 ,46 
1637924589,10.1.1.96,10.254.1.213,17,2 , 4 ,0 ,546 ,0 ,46 
1637924589,10.1.1.96,10.254.1.213,6,2 , 70 ,0 ,24 ,0 ,67 
1637924589,10.254.1.213,10.1.1.96,6,2 , 76 ,0 ,274 ,0 ,66 
1637924589,10.1.1.96,10.254.1.213,6,2 , 71 ,0 ,33 ,0 ,67 
1637924589,10.254.1.213,10.1.1.96,6,2 , 77 ,0 ,147 ,0 ,66 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46492 ,0 ,1649 ,0 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46493 ,12 ,2496 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46494 ,12 ,2496 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46495 ,36 ,13643 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46496 ,33 ,14211 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46497 ,32 ,14611 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46498 ,26 ,16754 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46499 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46500 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46501 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46502 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46503 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46504 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46505 ,23 ,18175 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46506 ,39 ,31582 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46507 ,41 ,33388 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46508 ,42 ,34459 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46509 ,43 ,35238 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46510 ,47 ,36530 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46511 ,47 ,37993 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46512 ,45 ,30299 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46513 ,44 ,30847 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46514 ,46 ,32057 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46515 ,48 ,21038 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46516 ,48 ,20186 ,1 ,1384 
1637924589,10.254.1.213,10.1.1.96,17,2 , 46517 ,49 ,21059 ,1 ,1384 
