timestamp, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1637750493,192.168.248.50,192.168.248.169,6,1 , 67 ,0 ,648 ,0 ,84432 
1637750493,192.168.248.50,192.168.248.169,6,1 , 67 ,0 ,648 ,0 ,84432 
1637750493,192.168.248.169,192.168.248.50,6,1 , 63 ,0 ,197 ,0 ,2820 
1637750493,192.168.248.169,192.168.248.50,6,1 , 63 ,0 ,197 ,0 ,2820 
1637750575,192.168.248.50,192.168.248.169,6,1 , 68 ,0 ,336 ,0 ,38148 
1637750575,192.168.248.50,192.168.248.169,6,1 , 68 ,0 ,336 ,0 ,38148 
1637750575,192.168.248.169,192.168.248.50,6,1 , 64 ,0 ,132 ,0 ,2928 
1637750575,192.168.248.169,192.168.248.50,6,1 , 64 ,0 ,132 ,0 ,2928 
1637750611,192.168.248.50,192.168.248.169,6,1 , 69 ,0 ,921 ,0 ,216392 
1637750611,192.168.248.50,192.168.248.169,6,1 , 69 ,0 ,921 ,0 ,216392 
1637750611,192.168.248.169,192.168.248.50,6,1 , 65 ,0 ,1287 ,0 ,3036 
1637750611,192.168.248.169,192.168.248.50,6,1 , 65 ,0 ,1287 ,0 ,3036 
1637750667,192.168.248.50,192.168.248.169,6,1 , 70 ,0 ,664 ,0 ,39733 
1637750667,192.168.248.50,192.168.248.169,6,1 , 70 ,0 ,664 ,0 ,39733 
1637750667,192.168.248.169,192.168.248.50,6,1 , 66 ,0 ,316 ,0 ,3144 
1637750667,192.168.248.50,192.168.248.169,6,1 , 71 ,0 ,292 ,0 ,39817 
1637750667,192.168.248.169,192.168.248.50,6,1 , 66 ,0 ,316 ,0 ,3144 
1637750667,192.168.248.50,192.168.248.169,6,1 , 71 ,0 ,292 ,0 ,39817 
1637750667,192.168.248.50,192.168.248.169,6,1 , 72 ,0 ,127 ,0 ,115240 
1637750667,192.168.248.50,192.168.248.169,6,1 , 72 ,0 ,127 ,0 ,115240 
1637750667,192.168.248.169,192.168.248.50,6,1 , 67 ,0 ,95 ,0 ,3180 
1637750667,192.168.248.169,192.168.248.50,6,1 , 67 ,0 ,95 ,0 ,3180 
1637750667,192.168.248.169,192.168.248.50,6,1 , 68 ,0 ,108 ,0 ,3216 
