timestamp, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1637861048,10.254.1.213,10.1.1.96,6,2 , 7 ,0 ,301 ,0 ,66 
1637861048,10.1.1.96,10.254.1.213,6,2 , 6 ,0 ,805 ,0 ,66 
1637861048,10.254.1.213,10.1.1.96,6,2 , 8 ,0 ,246 ,0 ,66 
1637861065,10.254.1.213,10.1.1.96,6,2 , 9 ,0 ,166 ,0 ,74 
1637861065,10.1.1.96,10.254.1.213,6,2 , 7 ,0 ,148 ,0 ,74 
1637861065,10.254.1.213,10.1.1.96,6,2 , 10 ,0 ,144 ,0 ,66 
1637861066,10.254.1.213,10.1.1.96,6,2 , 11 ,0 ,148 ,0 ,103 
1637861066,10.1.1.96,10.254.1.213,6,2 , 8 ,0 ,1618 ,0 ,67 
1637861066,10.1.1.96,10.254.1.213,6,2 , 9 ,0 ,1618 ,0 ,67 
1637861066,10.254.1.213,10.1.1.96,6,2 , 12 ,0 ,264 ,0 ,66 
1637861066,10.254.1.213,10.1.1.96,6,2 , 13 ,0 ,135 ,0 ,70 
1637861066,10.1.1.96,10.254.1.213,6,2 , 10 ,0 ,249 ,0 ,66 
1637861066,10.254.1.213,10.1.1.96,6,2 , 14 ,0 ,174 ,0 ,185 
1637861066,10.1.1.96,10.254.1.213,6,2 , 11 ,0 ,336 ,0 ,67 
1637861066,10.1.1.96,10.254.1.213,6,2 , 12 ,0 ,336 ,0 ,67 
1637861066,10.254.1.213,10.1.1.96,17,2 , 0 ,0 ,22 ,0 ,46 
1637861066,10.1.1.96,10.254.1.213,17,2 , 0 ,0 ,239 ,0 ,46 
1637861066,10.254.1.213,10.1.1.96,6,2 , 15 ,0 ,27 ,0 ,66 
1637861066,10.1.1.96,10.254.1.213,6,2 , 13 ,0 ,289 ,0 ,68 
1637861066,10.254.1.213,10.1.1.96,6,2 , 16 ,0 ,29 ,0 ,66 
1637861066,10.254.1.213,10.1.1.96,17,2 , 1 ,0 ,29 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 2 ,0 ,24 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 3 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 4 ,0 ,19 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 5 ,0 ,19 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 6 ,0 ,25 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 7 ,0 ,21 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 8 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 9 ,0 ,12 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 10 ,0 ,12 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 11 ,0 ,12 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 12 ,0 ,23 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 13 ,0 ,17 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 14 ,0 ,17 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 15 ,0 ,19 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 16 ,0 ,23 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 17 ,0 ,23 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 18 ,0 ,25 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 19 ,0 ,15 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 20 ,0 ,15 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 21 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 22 ,0 ,107 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 23 ,0 ,29 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 24 ,0 ,21 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 25 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 26 ,0 ,23 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 27 ,0 ,23 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 28 ,0 ,22 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 29 ,0 ,19 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 30 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 31 ,0 ,20 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 32 ,0 ,18 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 33 ,0 ,18 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 34 ,0 ,18 ,0 ,1384 
1637861066,10.254.1.213,10.1.1.96,17,2 , 35 ,0 ,18 ,0 ,1384 
