timestamp, srcIP, destIP, protocol, swid,flow_packet_count,packets_in_queue,queue_timedelta,hitter, packet_length
1637924478,192.168.248.50,192.168.248.169,6,1 , 0 ,0 ,430 ,0 ,74 
1637924478,192.168.248.169,192.168.248.50,6,1 , 0 ,0 ,371 ,0 ,74 
1637924478,192.168.248.50,192.168.248.169,6,1 , 1 ,0 ,1029 ,0 ,103 
1637924478,192.168.248.50,192.168.248.169,6,1 , 2 ,0 ,1029 ,0 ,103 
1637924478,192.168.248.169,192.168.248.50,6,1 , 1 ,0 ,75 ,0 ,66 
1637924478,192.168.248.169,192.168.248.50,6,1 , 2 ,0 ,1372 ,0 ,67 
1637924478,192.168.248.50,192.168.248.169,6,1 , 3 ,0 ,281 ,0 ,70 
1637924478,192.168.248.50,192.168.248.169,6,1 , 4 ,0 ,281 ,0 ,70 
1637924478,192.168.248.169,192.168.248.50,6,1 , 3 ,0 ,61 ,0 ,66 
1637924478,192.168.248.50,192.168.248.169,6,1 , 5 ,0 ,181 ,0 ,167 
1637924478,192.168.248.169,192.168.248.50,6,1 , 4 ,0 ,152 ,0 ,66 
1637924478,192.168.248.169,192.168.248.50,6,1 , 5 ,0 ,166 ,0 ,67 
1637924478,192.168.248.50,192.168.248.169,6,1 , 6 ,0 ,1115 ,0 ,46 
1637924478,192.168.248.50,192.168.248.169,17,1 , 0 ,0 ,1115 ,0 ,46 
1637924478,192.168.248.169,192.168.248.50,17,1 , 0 ,0 ,239 ,0 ,46 
1637924478,192.168.248.169,192.168.248.50,6,1 , 6 ,0 ,134 ,0 ,67 
1637924478,192.168.248.50,192.168.248.169,6,1 , 7 ,0 ,356 ,0 ,66 
1637924478,192.168.248.169,192.168.248.50,6,1 , 7 ,0 ,868 ,0 ,67 
1637924478,192.168.248.50,192.168.248.169,6,1 , 8 ,0 ,312 ,0 ,1384 
1637924478,192.168.248.50,192.168.248.169,17,1 , 1 ,0 ,312 ,0 ,1384 
